M	P	NP	Time
16	160	10	0.001227
16	160	10	0.002705
16	160	10	0.001547
16	160	10	0.001379
16	160	10	0.002262
16	160	10	0.002644
16	160	10	0.001291
16	160	11	0.001677
16	160	11	0.001946
16	160	11	0.002406
16	160	11	0.001423
16	160	11	0.003525
16	160	11	0.002572
16	160	11	0.001801
16	160	11	0.002918
16	160	11	0.003832
16	160	11	0.002292
16	160	12	0.001549
16	160	12	0.003273
16	160	12	0.001956
16	160	12	0.003550
16	160	12	0.002766
16	160	12	0.002024
16	160	12	0.003548
16	160	12	0.002443
16	160	12	0.002739
16	160	12	0.003832
16	160	13	0.003760
16	160	13	0.001832
16	160	13	0.002610
16	160	13	0.003006
16	160	13	0.001925
16	160	13	0.001886
16	160	13	0.002648
16	160	13	0.003285
16	160	13	0.001933
16	160	13	0.002697
16	160	14	0.004195
16	160	14	0.003255
16	160	14	0.002547
16	160	14	0.002016
16	160	14	0.003190
16	160	14	0.002441
16	160	14	0.003044
16	160	14	0.002151
16	160	14	0.003605
16	160	14	0.002799
16	160	15	0.002968
16	160	15	0.002912
16	160	15	0.004183
16	160	15	0.004410
16	160	15	0.002286
16	160	15	0.003814
16	160	15	0.002926
16	160	15	0.002504
16	160	15	0.002287
16	160	15	0.002476
16	160	16	0.004844
16	160	16	0.003984
16	160	16	0.003990
16	160	16	0.002357
16	160	16	0.003076
16	160	16	0.003748
16	160	16	0.006256
16	160	16	0.004601
16	160	16	0.003548
16	160	16	0.003982
16	1600	1	0.000486
16	1600	1	0.000451
16	1600	1	0.000440
16	1600	1	0.000469
16	1600	1	0.000918
16	1600	1	0.000474
16	1600	1	0.000459
16	1600	1	0.000466
16	1600	1	0.000436
16	1600	1	0.000687
16	1600	2	0.001136
16	1600	2	0.000986
16	1600	2	0.001099
16	1600	2	0.001368
16	1600	2	0.001020
16	1600	2	0.001151
16	1600	2	0.001000
16	1600	2	0.001508
16	1600	2	0.001164
16	1600	2	0.001029
16	1600	3	0.002310
16	1600	3	0.001572
16	1600	3	0.001890
16	1600	3	0.001537
16	1600	3	0.001619
16	1600	3	0.002049
16	1600	3	0.001819
16	1600	3	0.001298
16	1600	3	0.002003
16	1600	3	0.001839
16	1600	4	0.001988
16	1600	4	0.001581
16	1600	4	0.002720
16	1600	4	0.002217
16	1600	4	0.002068
16	1600	4	0.001914
16	1600	4	0.002081
16	1600	4	0.001594
16	1600	4	0.001897
16	1600	4	0.001814
16	1600	5	0.002233
16	1600	5	0.002293
16	1600	5	0.002615
16	1600	5	0.002196
16	1600	5	0.002695
16	1600	5	0.001907
16	1600	5	0.002094
16	1600	5	0.001995
16	1600	5	0.002219
16	1600	5	0.001965
16	1600	6	0.002442
16	1600	6	0.002902
16	1600	6	0.003670
16	1600	6	0.002708
16	1600	6	0.002422
16	1600	6	0.002981
16	1600	6	0.002311
16	1600	6	0.003059
16	1600	6	0.002194
16	1600	6	0.003770
16	1600	7	0.003784
16	1600	7	0.004357
16	1600	7	0.004445
16	1600	7	0.003007
16	1600	7	0.003429
16	1600	7	0.003112
16	1600	7	0.003669
16	1600	7	0.003445
16	1600	7	0.003116
16	1600	7	0.002465
16	1600	8	0.002607
16	1600	8	0.004300
16	1600	8	0.002955
16	1600	8	0.004442
16	1600	8	0.003566
16	1600	8	0.003477
16	1600	8	0.003704
16	1600	8	0.003099
16	1600	8	0.003144
16	1600	8	0.003537
16	1600	9	0.002778
16	1600	9	0.003914
16	1600	9	0.003986
16	1600	9	0.004850
16	1600	9	0.005073
16	1600	9	0.004320
16	1600	9	0.003333
16	1600	9	0.004183
16	1600	9	0.004950
16	1600	9	0.004280
16	1600	10	0.004133
16	1600	10	0.003513
16	1600	10	0.003489
16	1600	10	0.003730
16	1600	10	0.005136
16	1600	10	0.004331
16	1600	10	0.003553
16	1600	10	0.004987
16	1600	10	0.003990
16	1600	10	0.004382
16	1600	11	0.005133
16	1600	11	0.004146
16	1600	11	0.004347
16	1600	11	0.005298
16	1600	11	0.004065
16	1600	11	0.005120
16	1600	11	0.005190
16	1600	11	0.004362
16	1600	11	0.004362
16	1600	11	0.004343
16	1600	12	0.004584
16	1600	12	0.005349
16	1600	12	0.005667
16	1600	12	0.005507
16	1600	12	0.005434
16	1600	12	0.004653
16	1600	12	0.004595
16	1600	12	0.005816
16	1600	12	0.005169
16	1600	12	0.004656
16	1600	13	0.005018
16	1600	13	0.005188
16	1600	13	0.005219
16	1600	13	0.005668
16	1600	13	0.005041
16	1600	13	0.005189
16	1600	13	0.004713
16	1600	13	0.006255
16	1600	13	0.005757
16	1600	13	0.005247
16	1600	14	0.004944
16	1600	14	0.004572
16	1600	14	0.006167
16	1600	14	0.005341
16	1600	14	0.005714
16	1600	14	0.005084
16	1600	14	0.006275
16	1600	14	0.005819
16	1600	14	0.006217
16	1600	14	0.005537
16	1600	15	0.006268
16	1600	15	0.005713
16	1600	15	0.006246
16	1600	15	0.005578
16	1600	15	0.007169
16	1600	15	0.006856
16	1600	15	0.006139
16	1600	15	0.006360
16	1600	15	0.007246
16	1600	15	0.006584
16	1600	16	0.007820
16	1600	16	0.004598
16	1600	16	0.010514
16	1600	16	0.007753
16	1600	16	0.006407
16	1600	16	0.009368
16	1600	16	0.008119
16	1600	16	0.007190
16	1600	16	0.007095
16	1600	16	0.007550
160	16	1	0.000124
160	16	1	0.000083
160	16	1	0.000070
160	16	1	0.000065
160	16	1	0.000086
160	16	1	0.000092
160	16	1	0.000077
160	16	1	0.000090
160	16	1	0.000081
160	16	1	0.000067
160	16	2	0.000467
160	16	2	0.000411
160	16	2	0.000615
160	16	2	0.000299
160	16	2	0.000599
160	16	2	0.000407
160	16	2	0.000345
160	16	2	0.000487
160	16	2	0.000577
160	16	2	0.000359
160	16	3	0.000381
160	16	3	0.000379
160	16	3	0.000584
160	16	3	0.000371
160	16	3	0.000459
160	16	3	0.000438
160	16	3	0.000451
160	16	3	0.000443
160	16	3	0.000715
160	16	3	0.000928
160	16	4	0.000450
160	16	4	0.000524
160	16	4	0.000933
160	16	4	0.000779
160	16	4	0.000508
160	16	4	0.000519
160	16	4	0.000690
160	16	4	0.000551
160	16	4	0.000981
160	16	4	0.000498
160	16	5	0.001125
160	16	5	0.001614
160	16	5	0.000823
160	16	5	0.000634
160	16	5	0.000925
160	16	5	0.001481
160	16	5	0.001634
160	16	5	0.001325
160	16	5	0.000788
160	16	5	0.000670
160	16	6	0.001307
160	16	6	0.000674
160	16	6	0.001359
160	16	6	0.000671
160	16	6	0.000856
160	16	6	0.000614
160	16	6	0.000773
160	16	6	0.000798
160	16	6	0.000749
160	16	6	0.000805
160	16	7	0.000733
160	16	7	0.001123
160	16	7	0.001360
160	16	7	0.001601
160	16	7	0.001635
160	16	7	0.000973
160	16	7	0.001539
160	16	7	0.000857
160	16	7	0.000850
160	16	7	0.001119
160	16	8	0.002161
160	16	8	0.000885
160	16	8	0.002313
160	16	8	0.000985
160	16	8	0.002703
160	16	8	0.001596
160	16	8	0.001235
160	16	8	0.001422
160	16	8	0.001665
